,Energy_Production_Total,Energy_Production_Asia_%,Energy_Production_Asia,Energy_Production_Africa_%,Energy_Production_Africa,Energy_Production_Europe_%,Energy_Production_Europe,Energy_Production_NA_%,Energy_Production_NA,Energy_Production_SA_%,Energy_Production_SA,Energy_Production_Oceania_%,Energy_Production_Oceania,Year
0,1527529.72,3.08,47000.0,0.0,0.0,28.45,434639.72,66.91,1022100.0,0.0,0.0,1.56,23790.0,1960
1,1548615.9,3.22,49900.0,0.0,0.0,28.18,436335.9,66.98,1037300.0,0.0,0.0,1.62,25080.0,1961
2,1601497.87,3.0,48100.0,0.0,0.0,27.7,443597.87,67.7,1084200.0,0.0,0.0,1.6,25600.0,1962
3,1662433.172,2.84,47200.0,0.0,0.0,27.05,449703.172,68.51,1138900.0,0.0,0.0,1.6,26630.0,1963
4,1722440.45,2.79,48000.0,0.0,0.0,26.73,460390.45,68.82,1185300.0,0.0,0.0,1.67,28750.0,1964
5,1776145.51,2.71,48100.0,0.0,0.0,26.27,466665.51,69.23,1229700.0,0.0,0.0,1.78,31680.0,1965
6,1837473.74,2.66,48900.0,0.0,0.0,24.97,458753.74,70.58,1296800.0,0.0,0.0,1.8,33020.0,1966
7,1933667.34,2.32,44900.0,0.0,0.0,23.29,450417.34,72.61,1404000.0,0.0,0.0,1.78,34350.0,1967
8,1994317.43,2.25,44800.0,0.0,0.0,22.96,457967.43,72.86,1453000.0,0.0,0.0,1.93,38550.0,1968
9,2048394.31,2.07,42300.0,0.0,0.0,22.85,468074.31,73.03,1496000.0,0.0,0.0,2.05,42020.0,1969
10,2232101.26,1.76,39300.0,0.0,0.0,24.49,546701.26,71.46,1595000.0,0.0,0.0,2.29,51100.0,1970
11,4710776.481000001,33.61,1583410.931,8.95,421471.7,14.0,659705.85,34.8,1639400.0,7.42,349468.0,1.22,57320.0,1971
12,4915144.741,35.05,1722980.931,8.68,426565.1,13.61,669127.71,34.43,1692100.0,6.88,338131.0,1.35,66240.0,1972
13,5191755.191,36.98,1920110.9309999999,8.58,445222.1,13.32,691480.1599999999,32.85,1705300.0,6.89,357592.0,1.39,72050.0,1973
14,5201082.7809999995,38.11,1981950.9309999999,8.22,427460.6,13.52,703119.25,32.25,1677200.0,6.52,339272.0,1.39,72080.0,1974
15,5135684.301,37.68,1935060.9309999999,8.05,413439.0,14.47,743327.37,32.34,1661000.0,5.9,303057.0,1.55,79800.0,1975
16,5406867.66,38.97,2106879.27,8.71,470822.5,14.32,774412.89,30.88,1669900.0,5.62,304113.0,1.49,80740.0,1976
17,5606836.723,38.89,2180578.5930000003,8.76,491304.9,14.61,819412.23,30.66,1719200.0,5.49,307941.0,1.58,88400.0,1977
18,5706810.763,38.56,2200675.0930000003,8.7,496544.3,14.96,853468.37,30.77,1756000.0,5.48,312563.0,1.53,87560.0,1978
19,5990683.703,37.77,2262436.4930000002,9.06,542924.7,15.13,906311.51,30.95,1854000.0,5.56,333231.0,1.53,91780.0,1979
20,5899870.553,36.1,2129674.693,8.88,523653.2,15.61,920861.66,32.27,1904000.0,5.61,330811.0,1.54,90870.0,1980
21,5779050.851,34.77,2009580.9309999999,8.24,476248.6,16.22,937326.32,33.26,1922000.0,5.73,330925.0,1.78,102970.0,1981
22,5716276.551,33.28,1902639.831,8.36,477596.0,17.02,972794.72,33.75,1929000.0,5.75,328966.0,1.84,105280.0,1982
23,5721617.95,33.13,1895449.27,8.63,493682.5,17.71,1013114.18,32.68,1870000.0,5.86,335232.0,1.99,114140.0,1983
24,6037512.59,32.79,1979497.17,8.8,531586.9,17.01,1026947.52,33.36,2014000.0,5.95,359491.0,2.09,125990.0,1984
25,6128658.399999999,32.19,1972533.17,9.08,556601.8,17.88,1096077.43,32.7,2004000.0,5.91,362496.0,2.23,136950.0,1985
26,6312315.53,33.66,2124807.7,8.94,564448.0,17.67,1115282.83,31.4,1982000.0,6.0,378897.0,2.33,146880.0,1986
27,6475462.4,33.81,2189586.2,8.9,576570.0,17.46,1130740.2,31.41,2034000.0,5.96,385886.0,2.45,158680.0,1987
28,6711438.62,34.83,2337610.0,9.1,610876.0,16.88,1133102.62,31.04,2083000.0,5.95,399450.0,2.2,147400.0,1988
29,6910444.12,36.1,2494695.0,9.29,642202.0,16.26,1123391.12,30.17,2085000.0,5.91,408656.0,2.26,156500.0,1989
30,8755493.84,32.01,2802886.0,7.7,674241.0,29.24,2560329.84,24.2,2119000.0,4.91,429537.0,1.94,169500.0,1990
31,8784341.84,32.48,2852897.0,8.02,704430.0,28.17,2474606.84,24.21,2127000.0,5.08,446308.0,2.04,179100.0,1991
32,8832576.19,33.33,2943969.0,8.06,711867.0,27.07,2391172.19,24.3,2146000.0,5.15,455168.0,2.09,184400.0,1992
33,8855949.97,34.4,3046180.0,8.2,726227.0,26.07,2308892.97,23.93,2119000.0,5.28,467750.0,2.12,187900.0,1993
34,8978881.6,34.59,3105788.0,8.28,743412.0,25.05,2249330.6,24.54,2203000.0,5.47,490751.0,2.08,186600.0,1994
35,9202820.1,35.23,3242068.0,8.37,770060.0,24.55,2259183.1,24.03,2211000.0,5.66,520809.0,2.17,199700.0,1995
36,9434263.5,35.18,3318512.0,8.42,794545.0,24.38,2300543.5,23.85,2250000.0,6.01,566863.0,2.16,203800.0,1996
37,9559941.1,35.42,3385703.0,8.68,829791.0,23.74,2269603.1,23.69,2265000.0,6.22,594344.0,2.25,215500.0,1997
38,9670210.100000001,35.88,3469269.4,8.69,840202.0,23.2,2243895.7,23.57,2279000.0,6.28,607443.0,2.38,230400.0,1998
39,9684916.0,35.98,3484852.1,8.77,849356.0,23.42,2268356.9,23.28,2255000.0,6.19,599651.0,2.35,227700.0,1999
40,9926201.1,36.44,3617390.7,8.86,878972.0,23.12,2294623.4,22.82,2265000.0,6.27,622115.0,2.5,248100.0,2000
41,10059768.0,36.42,3663418.1,8.8,885590.0,23.1,2323641.9,22.79,2293000.0,6.22,625918.0,2.67,268200.0,2001
42,10154232.239,36.64,3720104.7,8.76,889143.0,23.36,2372383.539,22.36,2270000.0,6.15,624001.0,2.74,278600.0,2002
43,10562534.31,38.05,4019174.2,8.97,947632.0,23.07,2436523.11,21.33,2253000.0,5.95,628805.0,2.63,277400.0,2003
44,11099943.206,39.38,4371620.8,8.87,984879.0,22.33,2478445.406,20.68,2295000.0,6.2,687998.0,2.54,282000.0,2004
45,11435752.325,40.5,4631262.1,9.04,1033573.0,21.59,2468640.225,19.98,2285000.0,6.34,724677.0,2.56,292600.0,2005
46,11749084.745000001,41.35,4857694.4,8.97,1053437.0,21.08,2477226.345,19.68,2312000.0,6.41,753627.0,2.51,295100.0,2006
47,11920003.288,41.89,4993711.7,9.02,1075082.0,20.7,2467882.588,19.55,2330000.0,6.21,740327.0,2.63,313000.0,2007
48,12266253.107,43.07,5282668.3,8.92,1094039.0,20.2,2478163.807,19.07,2339000.0,6.17,756382.0,2.58,316000.0,2008
49,12180424.57,44.0,5359231.9,8.8,1072405.0,19.4,2363370.67,18.88,2300000.0,6.23,759217.0,2.68,326200.0,2009
50,3889154.0,3.69,143430.0,0.0,0.0,26.78,1041564.0,60.53,2354000.0,0.25,9560.0,8.76,340600.0,2010
