,Algeria,Argentina,Australia,Austria,Azerbaijan,Bangladesh,Belarus,Belgium,Brazil,Bulgaria,Canada,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Japan,Kazakhstan,Kuwait,Latvia,Lithuania,Luxembourg,Malaysia,Mexico,Morocco,Netherlands,New Zealand,North Macedonia,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Singapore,Slovak Republic,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Thailand,Trinidad and Tobago,Turkey,Turkmenistan,Ukraine,United Arab Emirates,United Kingdom,United States,Uzbekistan,Venezuela,Vietnam,El_Generation_Asia,El_Generation_Africa,El_Generation_Europe,El_Generation_NA,El_Generation_SA,El_Generation_Oceania
1985,12300000000.0,45300000000.0,124000000000.0,44500000000.0,20700000000.0,4530000000.0,33200000000.0,57300000000.0,194000000000.0,41600000000.0,459000000000.0,14000000000.0,411000000000.0,29400000000.0,0.0,1320000000.0,58100000000.0,29100000000.0,4560000000.0,30300000000.0,17800000000.0,49400000000.0,343000000000.0,523000000000.0,27700000000.0,26800000000.0,3840000000.0,186000000000.0,16400000000.0,38900000000.0,21000000000.0,12100000000.0,15400000000.0,186000000000.0,672000000000.0,81300000000.0,15400000000.0,4960000000.0,21000000000.0,939000000.0,14900000000.0,96200000000.0,7350000000.0,63000000000.0,28500000000.0,0.0,103000000000.0,2890000000.0,28800000000.0,12100000000.0,22800000000.0,138000000000.0,18900000000.0,3960000000.0,71800000000.0,962000000000.0,51700000000.0,9880000000.0,22500000000.0,0.0,143000000000.0,62700000000.0,127000000000.0,2470000000.0,137000000000.0,56300000000.0,23000000000.0,3020000000.0,34200000000.0,11000000000.0,272000000000.0,12200000000.0,298000000000.0,2660000000000.0,47900000000.0,47300000000.0,5070000000.0,1781900000000.0,192950000000.0,3785359000000.0,3215200000000.0,349680000000.0,152500000000.0
1986,13000000000.0,49000000000.0,130000000000.0,44700000000.0,21500000000.0,4800000000.0,36300000000.0,58700000000.0,202000000000.0,41800000000.0,469000000000.0,14800000000.0,450000000000.0,31700000000.0,0.0,1420000000.0,60600000000.0,30800000000.0,5010000000.0,32500000000.0,18000000000.0,48900000000.0,362000000000.0,524000000000.0,28200000000.0,28000000000.0,4060000000.0,203000000000.0,18400000000.0,42200000000.0,22300000000.0,12700000000.0,16000000000.0,192000000000.0,676000000000.0,85100000000.0,16900000000.0,5180000000.0,22400000000.0,1020000000.0,16100000000.0,99600000000.0,7760000000.0,67200000000.0,29300000000.0,0.0,97300000000.0,3620000000.0,32300000000.0,12900000000.0,21000000000.0,140000000000.0,20400000000.0,4320000000.0,75500000000.0,1000000000000.0,55700000000.0,10600000000.0,24200000000.0,0.0,148000000000.0,69700000000.0,129000000000.0,2650000000.0,139000000000.0,57400000000.0,24700000000.0,3290000000.0,39700000000.0,12400000000.0,273000000000.0,12800000000.0,301000000000.0,2680000000000.0,52200000000.0,50100000000.0,5530000000.0,1879820000000.0,201260000000.0,3884480000000.0,3248600000000.0,368800000000.0,159300000000.0
1987,12700000000.0,52100000000.0,136000000000.0,50500000000.0,22900000000.0,5590000000.0,37500000000.0,63400000000.0,203000000000.0,43500000000.0,496000000000.0,15600000000.0,497000000000.0,33700000000.0,0.0,1500000000.0,62200000000.0,29500000000.0,5380000000.0,35700000000.0,17900000000.0,53000000000.0,378000000000.0,532000000000.0,30300000000.0,29700000000.0,4150000000.0,224000000000.0,20700000000.0,45100000000.0,22500000000.0,13100000000.0,17700000000.0,201000000000.0,719000000000.0,88500000000.0,18100000000.0,5940000000.0,22800000000.0,1040000000.0,17400000000.0,106000000000.0,8000000000.0,68400000000.0,29800000000.0,0.0,104000000000.0,3880000000.0,36300000000.0,14000000000.0,22600000000.0,146000000000.0,20100000000.0,4390000000.0,74100000000.0,1050000000000.0,65000000000.0,11800000000.0,23600000000.0,0.0,152000000000.0,80300000000.0,133000000000.0,2710000000.0,147000000000.0,59700000000.0,28600000000.0,3480000000.0,44400000000.0,13300000000.0,282000000000.0,13700000000.0,302000000000.0,2770000000000.0,54800000000.0,54100000000.0,6050000000.0,2041920000000.0,208400000000.0,4031330000000.0,3372000000000.0,381360000000.0,165800000000.0
1988,14000000000.0,52500000000.0,143000000000.0,49000000000.0,23600000000.0,6540000000.0,38200000000.0,65300000000.0,215000000000.0,45000000000.0,506000000000.0,16900000000.0,545000000000.0,35500000000.0,0.0,1650000000.0,64300000000.0,28100000000.0,5640000000.0,38700000000.0,17600000000.0,53500000000.0,392000000000.0,549000000000.0,33400000000.0,29200000000.0,4420000000.0,241000000000.0,24800000000.0,47000000000.0,23500000000.0,13200000000.0,19400000000.0,204000000000.0,754000000000.0,88400000000.0,19600000000.0,5110000000.0,26000000000.0,1330000000.0,19400000000.0,112000000000.0,8980000000.0,69700000000.0,31100000000.0,0.0,110000000000.0,4410000000.0,40700000000.0,13600000000.0,24500000000.0,144000000000.0,22500000000.0,4610000000.0,75300000000.0,1070000000000.0,70100000000.0,13000000000.0,23000000000.0,0.0,158000000000.0,93100000000.0,139000000000.0,2800000000.0,146000000000.0,60500000000.0,32400000000.0,3490000000.0,48000000000.0,12900000000.0,297000000000.0,14800000000.0,309000000000.0,2910000000000.0,50600000000.0,58200000000.0,6790000000.0,2182950000000.0,219680000000.0,4134310000000.0,3528000000000.0,400830000000.0,174100000000.0
1989,15300000000.0,50900000000.0,151000000000.0,50200000000.0,23300000000.0,7120000000.0,38500000000.0,67500000000.0,222000000000.0,44300000000.0,498000000000.0,17800000000.0,585000000000.0,37000000000.0,0.0,1830000000.0,65100000000.0,22900000000.0,5770000000.0,40600000000.0,17600000000.0,53400000000.0,406000000000.0,560000000000.0,34500000000.0,29600000000.0,4480000000.0,272000000000.0,28500000000.0,51400000000.0,23900000000.0,13800000000.0,20500000000.0,211000000000.0,800000000000.0,89700000000.0,21100000000.0,5800000000.0,29200000000.0,1380000000.0,21500000000.0,120000000000.0,9020000000.0,73100000000.0,31400000000.0,0.0,119000000000.0,4710000000.0,42800000000.0,13700000000.0,25600000000.0,145000000000.0,25800000000.0,4650000000.0,75900000000.0,1080000000000.0,75700000000.0,14000000000.0,24100000000.0,0.0,163000000000.0,104000000000.0,147000000000.0,2860000000.0,143000000000.0,54600000000.0,37400000000.0,3430000000.0,52000000000.0,14500000000.0,295000000000.0,15600000000.0,315000000000.0,3160000000000.0,55900000000.0,57600000000.0,7780000000.0,2349520000000.0,227920000000.0,4206590000000.0,3778000000000.0,408200000000.0,182400000000.0
1990,16100000000.0,51000000000.0,156000000000.0,50400000000.0,23200000000.0,7730000000.0,39500000000.0,70900000000.0,223000000000.0,42100000000.0,481000000000.0,18400000000.0,621000000000.0,38200000000.0,8750000000.0,1970000000.0,62600000000.0,26000000000.0,6350000000.0,42000000000.0,17200000000.0,54300000000.0,421000000000.0,550000000000.0,35000000000.0,28400000000.0,4450000000.0,288000000000.0,33100000000.0,57700000000.0,28400000000.0,14500000000.0,20900000000.0,217000000000.0,882000000000.0,87400000000.0,18500000000.0,6650000000.0,28400000000.0,1380000000.0,23000000000.0,118000000000.0,9630000000.0,71900000000.0,32300000000.0,5760000000.0,122000000000.0,4500000000.0,46000000000.0,13800000000.0,26300000000.0,136000000000.0,28500000000.0,4840000000.0,64300000000.0,1080000000000.0,79900000000.0,15600000000.0,26100000000.0,12400000000.0,167000000000.0,118000000000.0,152000000000.0,3150000000.0,147000000000.0,56000000000.0,44100000000.0,3580000000.0,57500000000.0,14600000000.0,299000000000.0,17100000000.0,320000000000.0,3230000000000.0,56300000000.0,59300000000.0,8680000000.0,2530000000000.0,234730000000.0,4258960000000.0,3829000000000.0,413630000000.0,188300000000.0
1991,17300000000.0,53900000000.0,158000000000.0,51500000000.0,23400000000.0,8270000000.0,38700000000.0,71900000000.0,234000000000.0,40900000000.0,507000000000.0,20000000000.0,678000000000.0,40100000000.0,8940000000.0,2080000000.0,60500000000.0,36500000000.0,6970000000.0,43300000000.0,14600000000.0,58000000000.0,456000000000.0,540000000000.0,35800000000.0,30000000000.0,4430000000.0,320000000000.0,38100000000.0,62800000000.0,13400000000.0,15100000000.0,21500000000.0,222000000000.0,911000000000.0,86000000000.0,10800000000.0,5640000000.0,29400000000.0,1420000000.0,26600000000.0,129000000000.0,9210000000.0,74300000000.0,33300000000.0,5770000000.0,111000000000.0,4630000000.0,50200000000.0,14500000000.0,25600000000.0,135000000000.0,29900000000.0,4670000000.0,56800000000.0,1070000000000.0,85000000000.0,16600000000.0,24700000000.0,12700000000.0,168000000000.0,132000000000.0,156000000000.0,3380000000.0,147000000000.0,58100000000.0,50100000000.0,3720000000.0,60200000000.0,15000000000.0,279000000000.0,17200000000.0,323000000000.0,3270000000000.0,54200000000.0,63300000000.0,9210000000.0,2667660000000.0,237810000000.0,4266880000000.0,3906000000000.0,436490000000.0,191300000000.0
1992,18300000000.0,56100000000.0,161000000000.0,51200000000.0,19800000000.0,8890000000.0,37600000000.0,72200000000.0,242000000000.0,35600000000.0,519000000000.0,22400000000.0,754000000000.0,36600000000.0,8900000000.0,2430000000.0,59300000000.0,30700000000.0,7200000000.0,45000000000.0,11800000000.0,57600000000.0,464000000000.0,538000000000.0,37400000000.0,31700000000.0,4540000000.0,337000000000.0,40300000000.0,67200000000.0,21900000000.0,16000000000.0,24700000000.0,226000000000.0,917000000000.0,83200000000.0,16900000000.0,3830000000.0,18700000000.0,1200000000.0,31400000000.0,132000000000.0,9720000000.0,77200000000.0,32900000000.0,6070000000.0,118000000000.0,5110000000.0,53600000000.0,13100000000.0,25900000000.0,133000000000.0,30100000000.0,5180000000.0,54200000000.0,1010000000000.0,93500000000.0,17500000000.0,23600000000.0,12300000000.0,168000000000.0,146000000000.0,159000000000.0,3540000000.0,146000000000.0,59500000000.0,57000000000.0,3980000000.0,67300000000.0,13200000000.0,253000000000.0,18700000000.0,321000000000.0,3280000000000.0,50900000000.0,67400000000.0,9710000000.0,2822130000000.0,241020000000.0,4178970000000.0,3931000000000.0,448780000000.0,193900000000.0
1993,19400000000.0,61900000000.0,165000000000.0,52700000000.0,19100000000.0,9210000000.0,33400000000.0,70800000000.0,252000000000.0,38000000000.0,530000000000.0,24000000000.0,812000000000.0,41700000000.0,9560000000.0,2590000000.0,58900000000.0,34000000000.0,7410000000.0,46700000000.0,9120000000.0,61000000000.0,473000000000.0,527000000000.0,38400000000.0,32900000000.0,4720000000.0,362000000000.0,39700000000.0,74700000000.0,27100000000.0,16400000000.0,26000000000.0,223000000000.0,926000000000.0,77900000000.0,20200000000.0,3920000000.0,14100000000.0,1070000000.0,34900000000.0,135000000000.0,9910000000.0,77000000000.0,34300000000.0,5180000000.0,120000000000.0,5830000000.0,57000000000.0,14800000000.0,26600000000.0,134000000000.0,31200000000.0,5560000000.0,55500000000.0,957000000000.0,103000000000.0,19000000000.0,24400000000.0,11900000000.0,175000000000.0,162000000000.0,157000000000.0,3980000000.0,146000000000.0,61600000000.0,63300000000.0,3820000000.0,73800000000.0,12600000000.0,230000000000.0,21700000000.0,323000000000.0,3400000000000.0,49100000000.0,69400000000.0,10700000000.0,2969180000000.0,251010000000.0,4112160000000.0,4065000000000.0,475030000000.0,199300000000.0
1994,19900000000.0,65600000000.0,170000000000.0,53300000000.0,17600000000.0,9780000000.0,31400000000.0,72200000000.0,260000000000.0,38100000000.0,553000000000.0,25300000000.0,928000000000.0,45000000000.0,8770000000.0,2690000000.0,58700000000.0,40200000000.0,8140000000.0,48600000000.0,9150000000.0,65500000000.0,477000000000.0,528000000000.0,40600000000.0,33500000000.0,4770000000.0,388000000000.0,45900000000.0,81000000000.0,26700000000.0,17100000000.0,28300000000.0,232000000000.0,984000000000.0,66800000000.0,22800000000.0,4440000000.0,10000000000.0,1150000000.0,39800000000.0,146000000000.0,11500000000.0,79700000000.0,34900000000.0,5940000000.0,113000000000.0,6200000000.0,57900000000.0,15900000000.0,30500000000.0,135000000000.0,31400000000.0,5850000000.0,55100000000.0,876000000000.0,106000000000.0,20700000000.0,25700000000.0,12900000000.0,182000000000.0,183000000000.0,162000000000.0,4390000000.0,143000000000.0,66100000000.0,71100000000.0,4070000000.0,78300000000.0,10500000000.0,203000000000.0,23700000000.0,327000000000.0,3460000000000.0,47800000000.0,71200000000.0,12300000000.0,3218620000000.0,262000000000.0,4042710000000.0,4159000000000.0,495210000000.0,204900000000.0
1995,19700000000.0,67200000000.0,175000000000.0,56600000000.0,17000000000.0,10800000000.0,24900000000.0,74400000000.0,276000000000.0,41800000000.0,558000000000.0,28000000000.0,1010000000000.0,47500000000.0,9280000000.0,2500000000.0,60800000000.0,36700000000.0,8430000000.0,50700000000.0,8690000000.0,64400000000.0,494000000000.0,537000000000.0,41600000000.0,34000000000.0,4980000000.0,427000000000.0,54100000000.0,84400000000.0,26500000000.0,17800000000.0,30400000000.0,241000000000.0,1010000000000.0,66700000000.0,23700000000.0,3980000000.0,13800000000.0,1230000000.0,46600000000.0,150000000000.0,12100000000.0,81100000000.0,36100000000.0,6130000000.0,123000000000.0,6500000000.0,63800000000.0,16900000000.0,33600000000.0,139000000000.0,33300000000.0,6010000000.0,59300000000.0,860000000000.0,110000000000.0,22100000000.0,26800000000.0,12900000000.0,187000000000.0,204000000000.0,167000000000.0,4800000000.0,148000000000.0,62900000000.0,79700000000.0,4310000000.0,86200000000.0,9910000000.0,194000000000.0,25000000000.0,337000000000.0,3570000000000.0,47500000000.0,73400000000.0,14600000000.0,3434720000000.0,269500000000.0,4106090000000.0,4278000000000.0,521740000000.0,211100000000.0
1996,20700000000.0,69800000000.0,180000000000.0,54800000000.0,17100000000.0,11500000000.0,23700000000.0,76100000000.0,291000000000.0,42700000000.0,572000000000.0,30800000000.0,1080000000000.0,48400000000.0,11200000000.0,2610000000.0,64300000000.0,53600000000.0,9680000000.0,53600000000.0,9100000000.0,69100000000.0,513000000000.0,553000000000.0,42600000000.0,35100000000.0,5110000000.0,443000000000.0,58900000000.0,89700000000.0,26000000000.0,19200000000.0,32600000000.0,244000000000.0,1030000000000.0,58700000000.0,25500000000.0,3130000000.0,16800000000.0,1260000000.0,53400000000.0,157000000000.0,12500000000.0,85200000000.0,36500000000.0,6640000000.0,105000000000.0,6800000000.0,67600000000.0,17300000000.0,36700000000.0,143000000000.0,34500000000.0,6620000000.0,61400000000.0,847000000000.0,112000000000.0,23900000000.0,25800000000.0,12700000000.0,200000000000.0,226000000000.0,174000000000.0,4530000000.0,141000000000.0,57300000000.0,87000000000.0,4540000000.0,94900000000.0,10100000000.0,183000000000.0,26600000000.0,351000000000.0,3660000000000.0,45400000000.0,75600000000.0,16900000000.0,3596550000000.0,286800000000.0,4162850000000.0,4389000000000.0,547120000000.0,216500000000.0
1997,21500000000.0,72500000000.0,189000000000.0,56900000000.0,16800000000.0,11900000000.0,26100000000.0,78800000000.0,308000000000.0,42800000000.0,572000000000.0,33300000000.0,1140000000000.0,49900000000.0,10200000000.0,2730000000.0,64600000000.0,44300000000.0,10400000000.0,56800000000.0,9220000000.0,69100000000.0,505000000000.0,552000000000.0,43500000000.0,35400000000.0,5580000000.0,469000000000.0,70700000000.0,97000000000.0,26700000000.0,20000000000.0,35100000000.0,251000000000.0,1050000000000.0,52000000000.0,26700000000.0,4510000000.0,14900000000.0,1260000000.0,59900000000.0,167000000000.0,13600000000.0,86700000000.0,37100000000.0,6730000000.0,112000000000.0,7320000000.0,62500000000.0,18000000000.0,39800000000.0,143000000000.0,34200000000.0,6910000000.0,57100000000.0,834000000000.0,119000000000.0,26700000000.0,25300000000.0,13200000000.0,210000000000.0,247000000000.0,190000000000.0,5140000000.0,149000000000.0,62900000000.0,92700000000.0,4990000000.0,103000000000.0,9500000000.0,178000000000.0,28500000000.0,351000000000.0,3720000000000.0,46100000000.0,78100000000.0,19100000000.0,3766070000000.0,301900000000.0,4184030000000.0,4459000000000.0,575190000000.0,226100000000.0
1998,23300000000.0,74200000000.0,199000000000.0,57400000000.0,18000000000.0,12900000000.0,23500000000.0,83200000000.0,322000000000.0,41700000000.0,562000000000.0,35500000000.0,1170000000000.0,50300000000.0,11500000000.0,2990000000.0,64900000000.0,41100000000.0,10900000000.0,60700000000.0,8520000000.0,70400000000.0,511000000000.0,557000000000.0,46300000000.0,37200000000.0,6270000000.0,505000000000.0,76700000000.0,102000000000.0,26700000000.0,21200000000.0,38000000000.0,260000000000.0,1060000000000.0,49800000000.0,30000000000.0,5800000000.0,17600000000.0,1300000000.0,64100000000.0,181000000000.0,13000000000.0,92000000000.0,37600000000.0,7050000000.0,117000000000.0,8200000000.0,66400000000.0,18600000000.0,41600000000.0,143000000000.0,39000000000.0,8170000000.0,53500000000.0,827000000000.0,126000000000.0,28400000000.0,26000000000.0,13700000000.0,205000000000.0,237000000000.0,195000000000.0,5680000000.0,159000000000.0,63300000000.0,89500000000.0,5170000000.0,111000000000.0,9420000000.0,173000000000.0,33400000000.0,363000000000.0,3860000000000.0,45900000000.0,80900000000.0,21700000000.0,3874570000000.0,302000000000.0,4251430000000.0,4603000000000.0,597570000000.0,236600000000.0
1999,24800000000.0,80700000000.0,207000000000.0,60400000000.0,18200000000.0,14500000000.0,26500000000.0,84500000000.0,335000000000.0,38200000000.0,578000000000.0,38400000000.0,1240000000000.0,47800000000.0,13000000000.0,3140000000.0,64700000000.0,38900000000.0,10300000000.0,65700000000.0,8270000000.0,69400000000.0,526000000000.0,556000000000.0,49600000000.0,37800000000.0,7180000000.0,547000000000.0,84000000000.0,110000000000.0,24700000000.0,22000000000.0,39200000000.0,266000000000.0,1080000000000.0,47300000000.0,31600000000.0,4110000000.0,13500000000.0,1020000000.0,68200000000.0,190000000000.0,12900000000.0,87600000000.0,37800000000.0,6860000000.0,123000000000.0,8410000000.0,65300000000.0,19000000000.0,41400000000.0,142000000000.0,43300000000.0,8940000000.0,50700000000.0,846000000000.0,131000000000.0,29500000000.0,28400000000.0,13300000000.0,203000000000.0,262000000000.0,208000000000.0,6280000000.0,155000000000.0,68600000000.0,90200000000.0,5250000000.0,116000000000.0,8860000000.0,172000000000.0,37100000000.0,368000000000.0,3940000000000.0,45400000000.0,80600000000.0,23600000000.0,4062690000000.0,306400000000.0,4318980000000.0,4708000000000.0,617050000000.0,244800000000.0
2000,25400000000.0,89000000000.0,217000000000.0,61800000000.0,18700000000.0,15800000000.0,26100000000.0,84000000000.0,349000000000.0,40900000000.0,604000000000.0,41300000000.0,1360000000000.0,46800000000.0,11300000000.0,3370000000.0,73500000000.0,36000000000.0,10600000000.0,73300000000.0,8510000000.0,70500000000.0,540000000000.0,577000000000.0,53800000000.0,35200000000.0,7680000000.0,571000000000.0,93300000000.0,119000000000.0,27200000000.0,24000000000.0,43000000000.0,277000000000.0,1100000000000.0,51600000000.0,32300000000.0,4140000000.0,11400000000.0,1170000000.0,69900000000.0,204000000000.0,12900000000.0,90200000000.0,39200000000.0,6810000000.0,143000000000.0,9110000000.0,63700000000.0,19900000000.0,45300000000.0,145000000000.0,43800000000.0,9130000000.0,51900000000.0,878000000000.0,139000000000.0,31700000000.0,31200000000.0,13600000000.0,211000000000.0,290000000000.0,224000000000.0,6970000000.0,146000000000.0,67300000000.0,95500000000.0,5460000000.0,125000000000.0,9940000000.0,171000000000.0,39900000000.0,377000000000.0,4050000000000.0,46900000000.0,85200000000.0,26600000000.0,4315550000000.0,322600000000.0,4461180000000.0,4858000000000.0,647260000000.0,256200000000.0
2001,26600000000.0,90100000000.0,224000000000.0,62300000000.0,19000000000.0,17400000000.0,25100000000.0,79800000000.0,329000000000.0,44000000000.0,588000000000.0,43900000000.0,1480000000000.0,48200000000.0,12800000000.0,3550000000.0,74600000000.0,37700000000.0,11000000000.0,80700000000.0,8480000000.0,74800000000.0,550000000000.0,586000000000.0,53700000000.0,36400000000.0,8030000000.0,586000000000.0,102000000000.0,128000000000.0,31700000000.0,25000000000.0,43800000000.0,279000000000.0,1080000000000.0,55400000000.0,34300000000.0,4280000000.0,14700000000.0,1620000000.0,75800000000.0,210000000000.0,15000000000.0,94100000000.0,39600000000.0,6360000000.0,122000000000.0,9740000000.0,70600000000.0,20800000000.0,47000000000.0,146000000000.0,46500000000.0,9950000000.0,53900000000.0,891000000000.0,146000000000.0,33100000000.0,32000000000.0,14500000000.0,210000000000.0,310000000000.0,236000000000.0,6800000000.0,162000000000.0,72200000000.0,101000000000.0,5640000000.0,123000000000.0,10600000000.0,173000000000.0,43200000000.0,385000000000.0,3980000000000.0,48000000000.0,90100000000.0,30600000000.0,4519990000000.0,332300000000.0,4539420000000.0,4778000000000.0,638740000000.0,263600000000.0
